family,lookback,hold_bars,tp,sl,trades,train_trades,test_trades,wins,win_rate,gross_return_pct,train_return_pct,test_return_pct,avg_return_pct,max_drawdown_pct,sharpe_like
trend_pullback,40,24,0.006,0.0045,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
trend_pullback,60,30,0.008,0.0050,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
breakout,80,36,0.012,0.0065,99,44,55,41,0.4141,-7.7239,-2.5614,-5.1625,-0.0780,16.7096,-0.0890
breakout,60,30,0.009,0.0055,125,57,68,51,0.4080,-13.0696,0.2754,-13.3450,-0.1046,17.6164,-0.1472
long_only_trend,60,36,0.012,0.0065,71,40,31,24,0.3380,-13.5689,-3.2589,-10.3100,-0.1911,15.6798,-0.2187
long_only_trend,45,30,0.009,0.0050,97,53,44,35,0.3608,-14.7945,-6.1697,-8.6249,-0.1525,15.4204,-0.2287
pullback,80,36,0.010,0.0065,130,61,69,53,0.4077,-17.2468,-12.7183,-4.5286,-0.1327,20.6981,-0.1698
long_only_trend,30,24,0.006,0.0035,137,70,67,42,0.3066,-30.0814,-14.2080,-15.8734,-0.2196,30.9234,-0.5038
pullback,50,30,0.007,0.0050,166,80,86,65,0.3916,-30.5155,-14.9440,-15.5714,-0.1838,31.4878,-0.3135
pullback,30,24,0.005,0.0040,227,105,122,99,0.4361,-37.3603,-20.9058,-16.4545,-0.1646,37.6471,-0.3683
breakout,40,30,0.006,0.0045,161,74,87,55,0.3416,-40.2357,-18.7970,-21.4387,-0.2499,41.3985,-0.4997
mean_reversion,60,24,0.0060,0.0045,282,130,152,111,0.3936,-54.2538,-21.7942,-32.4596,-0.1924,54.4757,-0.3765
breakout,20,18,0.004,0.0030,267,127,140,96,0.3596,-55.1828,-27.8292,-27.3536,-0.2067,56.3854,-0.6157
mean_reversion,30,18,0.0035,0.0028,361,179,182,158,0.4377,-58.2747,-27.6742,-30.6006,-0.1614,58.8634,-0.5172
mean_reversion,45,24,0.0045,0.0035,297,144,153,111,0.3737,-62.4548,-30.9232,-31.5315,-0.2103,62.5914,-0.5421
