family,lookback,hold_bars,tp,sl,trades,train_trades,test_trades,wins,win_rate,gross_return_pct,train_return_pct,test_return_pct,avg_return_pct,max_drawdown_pct,sharpe_like
trend_pullback,40,24,0.006,0.0045,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
trend_pullback,60,30,0.008,0.0050,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
breakout,80,36,0.012,0.0065,99,44,55,41,0.4141,-7.7239,-2.5614,-5.1625,-0.0780,16.7096,-0.0890
breakout,60,30,0.009,0.0055,125,56,69,51,0.4080,-13.0696,0.9854,-14.0550,-0.1046,17.6164,-0.1472
pullback,80,36,0.010,0.0065,130,61,69,53,0.4077,-17.2468,-12.7183,-4.5286,-0.1327,20.6981,-0.1698
pullback,50,30,0.007,0.0050,166,80,86,65,0.3916,-30.5155,-14.9440,-15.5714,-0.1838,31.4878,-0.3135
pullback,30,24,0.005,0.0040,227,105,122,99,0.4361,-37.3603,-20.9058,-16.4545,-0.1646,37.6471,-0.3683
breakout,40,30,0.006,0.0045,161,73,88,55,0.3416,-40.2357,-18.1870,-22.0487,-0.2499,41.3985,-0.4997
mean_reversion,60,24,0.0060,0.0045,281,130,151,112,0.3986,-52.5958,-20.7442,-31.8517,-0.1872,52.8257,-0.3655
breakout,20,18,0.004,0.0030,266,126,140,94,0.3534,-56.1251,-28.0699,-28.0552,-0.2110,57.3277,-0.6310
mean_reversion,30,18,0.0035,0.0028,361,178,183,158,0.4377,-58.2747,-27.8654,-30.4093,-0.1614,58.8634,-0.5172
mean_reversion,45,24,0.0045,0.0035,296,143,153,111,0.3750,-61.9460,-31.2153,-30.7307,-0.2093,62.0845,-0.5392
