family,interval,lookback,hold_bars,tp,sl,trades,train_trades,test_trades,wins,win_rate,gross_return_pct,train_return_pct,test_return_pct,avg_return_pct,max_drawdown_pct,sharpe_like
trend_pullback,1m,40,24,0.006,0.0045,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
trend_pullback,1m,60,30,0.008,0.0050,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
long_only_trend,1m,30,24,0.006,0.0035,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
long_only_trend,1m,45,30,0.009,0.0050,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
long_only_trend,1m,60,36,0.012,0.0065,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
trend_pullback,5m,40,24,0.006,0.0045,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
trend_pullback,5m,60,30,0.008,0.0050,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
trend_pullback,15m,40,24,0.006,0.0045,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
trend_pullback,15m,60,30,0.008,0.0050,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
breakout,15m,80,36,0.012,0.0065,76,33,43,34,0.4474,-0.0524,0.3712,-0.4235,-0.0007,7.2013,-0.0008
long_only_trend,15m,60,36,0.012,0.0065,69,33,36,27,0.3913,-6.4969,-4.5300,-1.9669,-0.0942,12.1448,-0.1044
breakout,5m,80,36,0.012,0.0065,81,38,43,30,0.3704,-8.5407,-8.1128,-0.4279,-0.1054,12.6259,-0.1177
long_only_trend,15m,45,30,0.009,0.0050,76,37,39,28,0.3684,-11.6392,-9.6992,-1.9400,-0.1531,12.5392,-0.2277
long_only_trend,5m,60,36,0.012,0.0065,60,27,33,21,0.3500,-11.8266,-6.6297,-5.1970,-0.1971,12.5464,-0.2369
breakout,15m,60,30,0.009,0.0055,94,45,49,35,0.3723,-16.3864,-7.2024,-9.1840,-0.1743,16.6823,-0.2489
pullback,5m,80,36,0.010,0.0065,84,44,40,31,0.3690,-16.8000,-6.3661,-10.4339,-0.2000,21.0218,-0.2627
long_only_trend,5m,45,30,0.009,0.0050,83,42,41,28,0.3373,-17.0309,-8.9107,-8.1203,-0.2052,18.5262,-0.3244
pullback,1m,80,36,0.010,0.0065,107,47,60,41,0.3832,-17.7022,-11.7427,-5.9595,-0.1654,19.1019,-0.2106
breakout,1m,60,30,0.009,0.0055,102,47,55,37,0.3627,-17.7027,0.2826,-17.9854,-0.1736,17.7604,-0.2491
breakout,1m,80,36,0.012,0.0065,82,40,42,27,0.3293,-18.0660,0.2183,-18.2843,-0.2203,19.3060,-0.2622
breakout,5m,60,30,0.009,0.0055,92,45,47,31,0.3370,-18.6472,-11.2777,-7.3695,-0.2027,20.8917,-0.2982
pullback,15m,80,36,0.010,0.0065,83,40,43,29,0.3494,-19.1723,-9.1932,-9.9791,-0.2310,19.9167,-0.2915
long_only_trend,15m,30,24,0.006,0.0035,106,55,51,31,0.2925,-24.2600,-11.5500,-12.7100,-0.2289,24.2600,-0.5281
long_only_trend,5m,30,24,0.006,0.0035,114,60,54,35,0.3070,-24.2727,-13.0167,-11.2560,-0.2129,24.8195,-0.4860
breakout,15m,40,30,0.006,0.0045,117,57,60,42,0.3590,-27.1528,-9.5092,-17.6436,-0.2321,27.1528,-0.4586
pullback,1m,50,30,0.007,0.0050,131,63,68,48,0.3664,-27.7074,-13.3735,-14.3339,-0.2115,27.7074,-0.3660
pullback,5m,30,24,0.005,0.0040,152,84,68,61,0.4013,-28.6261,-11.3104,-17.3157,-0.1883,28.6261,-0.4279
pullback,5m,50,30,0.007,0.0050,115,66,49,38,0.3304,-29.3364,-17.8858,-11.4506,-0.2551,31.1140,-0.4618
breakout,5m,40,30,0.006,0.0045,129,65,64,44,0.3411,-30.1665,-19.0752,-11.0913,-0.2338,30.8874,-0.4712
pullback,15m,50,30,0.007,0.0050,108,53,55,34,0.3148,-30.3362,-15.7155,-14.6207,-0.2809,31.4501,-0.5013
pullback,1m,30,24,0.005,0.0040,188,87,101,79,0.4202,-33.8418,-18.0539,-15.7879,-0.1800,34.1447,-0.4058
breakout,1m,40,30,0.006,0.0045,137,65,72,44,0.3212,-37.1899,-15.4198,-21.7701,-0.2715,37.1899,-0.5512
pullback,15m,30,24,0.005,0.0040,159,81,78,53,0.3333,-40.8982,-22.4878,-18.4104,-0.2572,40.8982,-0.6050
breakout,5m,20,18,0.004,0.0030,187,95,92,60,0.3209,-43.5361,-23.7528,-19.7834,-0.2328,43.5361,-0.7115
mean_reversion,1m,60,24,0.0060,0.0045,241,112,129,95,0.3942,-45.6370,-21.0855,-24.5514,-0.1894,46.5302,-0.3705
breakout,15m,20,18,0.004,0.0030,168,85,83,43,0.2560,-47.1103,-25.7674,-21.3429,-0.2804,47.1103,-0.9149
