family,lookback,hold_bars,tp,sl,trades,wins,win_rate,gross_return_pct,avg_return_pct,max_drawdown_pct,sharpe_like
pullback,50,30,0.007,0.005,155,65,0.4194,-23.3444,-0.1506,23.3444,-0.2544
breakout,60,30,0.009,0.0055,127,36,0.2835,-37.7398,-0.2972,39.4678,-0.4553
pullback,30,24,0.005,0.004,213,90,0.4225,-38.1778,-0.1792,38.5844,-0.4034
breakout,40,30,0.006,0.0045,171,50,0.2924,-51.6070,-0.3018,51.6070,-0.6294
breakout,20,18,0.004,0.003,270,75,0.2778,-71.1624,-0.2636,71.1624,-0.8386
